dataset_name,fold,classifier,exp_type,explainer,acc_m1,acc_m2
heloc,0,neural_network,Architecture,"('dice', 'base')",0.7195381343056821,"[0.7000911577028259, 0.7195381343056821, 0.7271346095411729, 0.7006988757216651, 0.7259191735034943, 0.7037374658158614, 0.7438468550592525, 0.7079914919477363, 0.7326040717107262, 0.712245518079611]"
heloc,1,neural_network,Architecture,"('roar', 'e2e')",0.7267477203647417,"[0.7024316109422493, 0.6966565349544073, 0.7051671732522796, 0.7297872340425532, 0.6939209726443769, 0.7267477203647417, 0.6936170212765957, 0.7015197568389058, 0.7139817629179331, 0.7249240121580547]"
heloc,1,neural_network,Architecture,"('dice', 'base')",0.7015197568389058,"[0.6939209726443769, 0.7267477203647417, 0.7139817629179331, 0.7249240121580547, 0.6966565349544073, 0.7051671732522796, 0.7297872340425532, 0.6936170212765957, 0.7024316109422493, 0.7015197568389058]"
heloc,2,neural_network,Architecture,"('roar', 'e2e')",0.7300911854103344,"[0.7337386018237082, 0.7300911854103344, 0.7331306990881459, 0.6890577507598784, 0.7179331306990882, 0.6832826747720365, 0.7173252279635258, 0.7343465045592705, 0.7212765957446808, 0.6890577507598784]"
heloc,2,neural_network,Architecture,"('dice', 'base')",0.6890577507598784,"[0.6832826747720365, 0.7173252279635258, 0.7343465045592705, 0.6890577507598784, 0.7212765957446808, 0.7331306990881459, 0.7179331306990882, 0.7337386018237082, 0.6890577507598784, 0.7300911854103344]"
heloc,0,neural_network,Weights,"('roar', 'e2e')",0.7034336068064418,"[0.6785171680340322, 0.6599817684594348, 0.7140686721361288, 0.709814646004254, 0.7101185050136737, 0.7092069279854147, 0.6839866302035855, 0.6782133090246126, 0.7089030689759951, 0.6751747189304163]"
heloc,0,neural_network,Weights,"('face', 'base')",0.718930416286843,"[0.6642357945913097, 0.6800364630811303, 0.7292616226071102, 0.6870252202977818, 0.7265268915223336, 0.7107262230325129, 0.7292616226071102, 0.7089030689759951, 0.7070799149194774, 0.7082953509571559]"
heloc,1,neural_network,Weights,"('roar', 'e2e')",0.7240121580547112,"[0.7100303951367781, 0.7085106382978723, 0.7121580547112462, 0.71580547112462, 0.6887537993920972, 0.7145896656534955, 0.7063829787234043, 0.7185410334346505, 0.7082066869300911, 0.6896656534954407]"
heloc,1,neural_network,Weights,"('face', 'base')",0.7030395136778116,"[0.6939209726443769, 0.6179331306990882, 0.7133738601823708, 0.6617021276595745, 0.709726443768997, 0.6820668693009119, 0.6924012158054711, 0.6416413373860183, 0.6939209726443769, 0.6492401215805471]"
heloc,2,neural_network,Weights,"('roar', 'e2e')",0.7322188449848024,"[0.7249240121580547, 0.7069908814589666, 0.7206686930091185, 0.6990881458966566, 0.7227963525835867, 0.6878419452887538, 0.7261398176291793, 0.7164133738601823, 0.7030395136778116, 0.7164133738601823]"
